1,TKYWPDZBLFJXNGQ,YXTL0000000XNGQ,"False,False,False,False,False,False,False,False,False,False,False,True,True,True,True",4,15
2,GFSLMNHDWZCRXPT,000MN00000CRXPT,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
3,ZGSMQHJYDRXCKTB,ZKSMQH0000CKTMB,"True,False,True,True,True,True,False,False,False,False,False,False,False,False,True",6,15
4,CFBLSKRYJHXVPZD,000000000HXVPZD,"False,False,False,False,False,False,False,False,False,True,True,True,True,True,True",6,15
5,FSNZWTPJYCGHVXL,ZVSNWX000000WXL,"False,False,False,False,True,False,False,False,False,False,False,False,False,True,True",3,15
6,QVKTWLHCSZMBPYJ,000000HJSZMBPDZ,"False,False,False,False,False,False,True,False,True,True,True,True,True,False,False",6,15
7,MLCGWRPKFXBHSYZ,MLCGWRP00000SYZ,"True,True,True,True,True,True,True,False,False,False,False,False,True,True,True",10,15
8,BGCYTZSKPLFQDMJ,BGCYS000000QDMJ,"True,True,True,True,False,False,False,False,False,False,False,True,True,True,True",8,15
9,QDXRJTLYMVFBZCN,XR00000000FBZCN,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
10,RXSBFQMHVGPYKZD,B0000000000YKZD,"False,False,False,False,False,False,False,False,False,False,False,True,True,True,True",4,15
11,WBYKFMZXSLPRTGJ,WB00FM0000PRTGJ,"True,True,False,False,True,True,False,False,False,False,True,True,True,True,True",9,15
12,THVKNXMYPRSJFGC,TKVHMX00000JFGC,"True,False,True,False,False,True,False,False,False,False,False,True,True,True,True",7,15
13,RWGJLQVDYFXCZTH,LMRZQ00000XCZTH,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
14,CSKXMDYRBNJLVFT,00KXM000000JLVF,"False,False,True,True,True,False,False,False,False,False,False,False,False,False,False",3,15
15,YCPKFRDWBQJNVMX,YCPFKRD000000DX,"True,True,True,False,False,True,True,False,False,False,False,False,False,False,True",6,15
16,LJTBVCYNSKGXDHP,LJKB000000GXDHP,"True,True,False,True,False,False,False,False,False,False,True,True,True,True,True",8,15
17,VHCGPWYTXSLQKRZ,0000P00000LQKRZ,"False,False,False,False,True,False,False,False,False,False,True,True,True,True,True",6,15
18,GFMXVBNCKZWTHJD,GLMXV0000000HJD,"True,False,True,True,True,False,False,False,False,False,False,False,True,True,True",7,15
19,VZWDHTQKNXGJFPM,V00WMP000XGJFMP,"True,False,False,False,False,False,False,False,False,True,True,True,True,False,False",5,15
20,HSTKVYCLPDWGBRX,TL000000PDGWRBX,"False,False,False,False,False,False,False,False,True,True,False,False,False,False,True",3,15
1,JMKRFCYQLHDGVTS,JKMR0000000000S,"True,False,False,True,False,False,False,False,False,False,False,False,False,False,True",3,15
2,CVYRSHFNWBGJKMQ,CVYRS0000000QBM,"True,True,True,True,True,False,False,False,False,False,False,False,False,False,False",5,15
3,PRQVBSZCHDNMLTJ,PQR000000000LTV,"True,False,False,False,False,False,False,False,False,False,False,False,True,True,False",3,15
4,MTFWLQSHKRJVPGX,MTF0000000000PX,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,True",4,15
5,JHCFQDRTWXKZGNM,LKX000000000GNM,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
6,BJPHMVSTRGWNCKX,BJPHMVN00000CKX,"True,True,True,True,True,True,False,False,False,False,False,False,True,True,True",9,15
7,SWHYMKDPTFCNVLZ,PH00000000CNVLZ,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
8,XYQCHDGKPRSLMVJ,XCYZ000000000MV,"True,False,False,False,False,False,False,False,False,False,False,False,False,False,False",1,15
9,CZTVFMDBHLQJWKP,XZTV00000000WKP,"False,True,True,True,False,False,False,False,False,False,False,False,True,True,True",6,15
10,NMKVHBFZJSCDQWP,NMK00000000000P,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,True",4,15
11,BXGSMDLZCVJPRNT,BXG0000000JPRNT,"True,True,True,False,False,False,False,False,False,False,True,True,True,True,True",8,15
12,YGSQTVCJLBHNPFW,YG00000000NPFW ,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,False",2,15
13,ZLDPWYNXTKQVSHG,L00000000KVQSHG,"False,False,False,False,False,False,False,False,False,True,False,False,True,True,True",4,15
14,ZXTQKFBCWHDPJVN,0000000000WHPJN,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,True",1,15
15,QGVZTCFKWBNMLSR,QG000000000MLSR,"True,True,False,False,False,False,False,False,False,False,False,True,True,True,True",6,15
16,HFGVYBQJXDZMWCP,000000XD00000CP,"False,False,False,False,False,False,False,False,False,False,False,False,False,True,True",2,15
17,GCHQFKWBYPRNTSD,00000000PYRTNSD,"False,False,False,False,False,False,False,False,False,False,True,False,False,True,True",3,15
18,KZLVSJNXBDFPWGH,KZ000000000PWGH,"True,True,False,False,False,False,False,False,False,False,False,True,True,True,True",6,15
19,GYVNXFBHSTMKPQL,0000000000TMPQL,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
20,ZJXDQFTNGWYMCLK,00000000000CLMK,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,True",1,15
